Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7
1,Document,,,,,,,,,,AUTOMATED TESTS Diagram,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,
3,Process,Flowchart Shapes,2,4:2,,,,,,,WebUI Manual Wave Planning (Order Selection),,,,,,
4,Swim Lane,Flowchart Shapes,2,,,,,,,,ORDER CREATION,WAVE PALNNING,ALLOCATION,REPLENISHMENT,PICKING,PACKING,LOADING AND DISPATCH
5,Rectangle Container,Flowchart Shapes,2,,,,,,,,,,,,,,
6,Text,Standard,2,5,,,,,,,OUTBOUND,,,,,,
7,Process,Flowchart Shapes,2,4:1,,,,,,,WebUI Outbound Order Creation,,,,,,
8,Process,Flowchart Shapes,2,4:1,,,,,,,WebUI Outbound Shipment Creation,,,,,,
9,Process,Flowchart Shapes,2,4:2,,,,,,,WebUI Manual Wave Planning (Shipment Selection),,,,,,
10,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Manual Wave Allocation (Work Assignment),,,,,,
11,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Manual Wave Allocation (Palet Picks),,,,,,
12,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Wave Deletion,,,,,,
13,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Unallocate Wave ,,,,,,
14,Process,Flowchart Shapes,2,4:5,,,,,,,RF Work Assignment  Pick to Staging,,,,,,
15,Process,Flowchart Shapes,2,4:5,,,,,,,RF Case Pick to Staging - Undirected picking,,,,,,
16,Process,Flowchart Shapes,2,4:5,,,,,,,RF Unpick Part of Order,,,,,,
17,Process,Flowchart Shapes,2,4:5,,,,,,,RF Pallet Pick to Staging,,,,,,
18,Process,Flowchart Shapes,2,4:5,,,,,,,RF Pallet Pick to Staging - Undirected picking,,,,,,
19,Process,Flowchart Shapes,2,4:5,,,,,,,RF Unpick Full Order,,,,,,
20,Process,Flowchart Shapes,2,4:5,,,,,,,WebUI Order Line Cancelation (picked),,,,,,
21,Process,Flowchart Shapes,2,4:5,,,,,,,WebUI Order Line Cancelation (not picked),,,,,,
22,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Load Creation on existing Order,,,,,,
23,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Equipment Creation and Check In on existing Load,,,,,,
24,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Dispatch Equipment ,,,,,,
25,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Close and Dispatch Equipment,,,,,,
26,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Equipment Creation and Check In for Shipment,,,,,,
27,Process,Flowchart Shapes,2,4:7,,,,,,,RF Loading Directed Work,,,,,,
28,Process,Flowchart Shapes,2,4:7,,,,,,,RF LTL Loading,,,,,,
29,Process,Flowchart Shapes,2,4:7,,,,,,,RF Close Equipment,,,,,,
30,Process,Flowchart Shapes,2,4:7,,,,,,,RF Dispatch Equipment ,,,,,,
31,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Manual Wave Allocation (Case Picks),,,,,,
32,Process,Flowchart Shapes,2,4:1,,,,,,,WebUI Outbound Order Deletion,,,,,,
33,Process,Flowchart Shapes,2,4:4,,,,,,,RF Full Pallet Replenishment,,,,,,
34,Process,Flowchart Shapes,2,4:5,,,,,,,RF Case Pick to Staging,,,,,,
35,Process,Flowchart Shapes,2,4:5,,,,,,,RF Pallet Picking,,,,,,
36,Process,Flowchart Shapes,2,4:7,,,,,,,WebUI Close Equipment ,,,,,,
37,Process,Flowchart Shapes,2,4:1,,,,,,,WebUI Change Customer Address for the Order,,,,,,
38,Process,Flowchart Shapes,2,4:1,,,,,,,WebUI Shipment Cancellation ,,,,,,
39,Process,Flowchart Shapes,2,4:3,,,,,,,WebUI Manual Wave Allocation - Negative Allocation (Short),,,,,,
